CC_4,NAME_4,kejadian_count,penduduk,laju_100k
3303010011,SENON,1,5348.000000,18.698579
3303020004,CIPAWON,1,6922.000000,14.446692
3303030001,BANDINGAN,1,6164.000000,16.223232
3303040002,PENGADEGAN,1,10743.000000,9.308387
3303050004,PENOLIH,1,4073.000000,24.551927
3303050008,KALIGONDANG,1,3379.000000,29.594555
3303050011,PENARUBAN,1,7262.000000,13.770311
3303050012,KALIKAJAR,2,4808.000000,41.597338
3303060004,JATISABA,1,3727.000000,26.831232
3303060007,PENAMBONGAN,1,4839.000000,20.665427
3303060011,PURBALINGGA LOR,3,6488.000000,46.239211
3303070007,MEWEK,1,2454.000000,40.749796
3303070011,KALIMANAH WETAN,1,3615.000000,27.662517
3303070015,KEDUNGWULUH,1,3562.000000,28.074116
3303080004,PADAMARA,1,3016.000000,33.156499
3303080006,BOJANEGARA,1,6629.000000,15.085232
3303080010,PRIGI,1,3243.000000,30.835646
3303090002,MUNJUL,1,3905.000000,25.608195
3303090004,KUTASARI,1,5446.000000,18.362101
3303100005,PATEMON,1,4723.000000,21.172983
3303110015,PAGER ANDONG,1,6856.000000,14.585764
3303110016,CIPAKU,1,8924.000000,11.205737
3303110017,BINANGUN,1,4574.000000,21.862702
3303110019,SANGKANAYU,1,5638.000000,17.736786
3303120003,KARANGMALANG,1,3422.000000,29.222677
3303130005,TLAHAB KIDUL,1,5913.000000,16.911889
3303150003,PEKIRINGAN,3,4064.000000,73.818898
3303150009,TUNJUNGMULI,2,12311.000000,16.245634
