ID_Titik,X_UTM,Y_UTM,Jumlah_Kasus,Jumlah_Populasi,Laju_per_100k
3303010011,320014.0188432777,9174416.713616248,1,5348.0,18.69857890800299
3303020004,329739.34797424404,9177197.757847253,1,6922.0,14.44669170759896
3303030001,327368.5462694627,9181374.726886172,1,6164.0,16.223231667748216
3303040002,330846.0531358988,9184377.085386438,1,10743.0,9.308386856557759
3303050004,326565.7610338076,9182521.907206593,1,4073.0,24.551927326295115
3303050008,324082.8346921213,9183790.748323191,1,3379.0,29.59455460195324
3303050011,321121.112785565,9183185.698319437,1,7262.0,13.770311209033325
3303050012,321326.5487933365,9184252.999937229,2,4808.0,41.597337770382694
3303060004,322087.83197225205,9181601.767290559,1,3727.0,26.831231553528305
3303060007,319945.41832176526,9181569.916924074,1,4839.0,20.665426741062205
3303060011,318975.4318221765,9183173.11908372,3,6488.0,46.23921085080148
3303070007,319758.42069325625,9180526.442583933,1,2454.0,40.74979625101874
3303070011,317226.29714394535,9180136.691941293,1,3615.0,27.662517289073303
3303070015,314882.22956813016,9181342.24918773,1,3562.0,28.074115665356544
3303080004,314418.43596759066,9183553.581757827,1,3016.0,33.15649867374005
3303080006,316121.5537599335,9183715.839044556,1,6629.0,15.08523155830442
3303080010,314553.2146071961,9184606.82220306,1,3243.0,30.83564600678384
3303090002,316311.54769547586,9185859.792414011,1,3905.0,25.60819462227913
3303090004,315132.070351043,9186897.79144291,1,5446.0,18.36210062431142
3303100005,319690.7682822029,9187052.71977637,1,4723.0,21.172983273343213
3303110016,315472.1593274031,9191247.56295776,1,8924.0,11.205737337516808
3303110017,312098.68663721415,9194911.594548114,1,4574.0,21.862702229995627
3303110019,314677.39133602247,9195821.39214464,1,5638.0,17.7367860943597
3303120003,322352.3115603788,9191289.947398676,1,3422.0,29.22267679719462
3303130005,317443.4149004223,9197665.624848926,1,5913.0,16.91188905800778
3303150003,331076.59928347636,9190472.104854997,3,4064.0,73.81889763779527
3303150009,331250.7466731549,9196547.177056976,2,12311.0,16.2456339858663
