No,CC_4,NAME_4,lon,lat,kejadian_count,penduduk,laju_100k
1,3303150003,Pekiringan,109.46971092759009,-7.321052805352745,3,4064.0,73.82
2,3303060011,Purbalingga Lor,109.35987303893936,-7.386665073418646,3,6488.0,46.24
3,3303050012,Kalikajar,109.38120438331754,-7.376978358116766,2,4808.0,41.6
4,3303070007,Mewek,109.36687707417964,-7.410622652127829,1,2454.0,40.75
5,3303080004,Padamara,109.31861045449972,-7.383071364890339,1,3016.0,33.16
6,3303080010,Prigi,109.31986714573588,-7.373552700622618,1,3243.0,30.84
7,3303050008,Kaligondang,109.40615490330508,-7.381247950065582,1,3379.0,29.59
8,3303120003,Karangmalang,109.39072430437751,-7.313382223218036,1,3422.0,29.22
9,3303070015,Kedungwuluh,109.32273578860068,-7.403081837497342,1,3562.0,28.07
10,3303070011,Kalimanah Wetan,109.34392748609358,-7.414061942573854,1,3615.0,27.66
11,3303060004,Jatisaba,109.38801285759878,-7.400976282674011,1,3727.0,26.83
12,3303090002,Munjul,109.33583517255585,-7.362282899425018,1,3905.0,25.61
